"RefDes","Value","Type","Pattern","","","RS Number","RS Number","Parallax_PN"
"C1","10 uF","CAP_1210","T491 series size C","","","","","210-10001"
"C3","10 uF","CAP_1210","T491 series size C","","","","","210-10001"
"C4","10 uF","CAP_1210","T491 series size C","","","","","210-10001"
"C5","1 uF","CAP_1210","T491 series size A","","","","","210-10001"
"C17","10 u farad","CAP","Aluminium Cap 8 x 6.2","",""," 490-8267"," 490-8267",""
"C18","10 uf","CAP100RP","Aluminium Cap 8 x 6.2","","","","",""
"C23","10u farad","CAP","T491 series size D","","","","",""
"C24","3.3 u farad","CAP","Aluminium Cap 8 x 6.2","","","","",""
"C25","3.3 uf","CAP_1206","Aluminium Cap 8 x 6.2","","","","",""
"D15","","1N4002","ES1GL Diode","","","","",""
"D16","","DIODE_1206","ES1GL Diode","","","796-5800P","796-5800P",""
"D17","","DIODE_1206","ES1GL Diode","","","796-5800P","796-5800P",""
"D18","","DIODE_1206","ES1GL Diode","","","796-5800P","796-5800P",""
"D19","","DIODE_1206","ES1GL Diode","","","796-5800P","796-5800P",""
"D20","","1N4007","ES1GL Diode","","","","",""
"D21","","LED","SML-31 LED","","","","",""
"D22","","LED","SML-31 LED","","","","",""
"D23","","LED","SML-31 LED","","","","",""
"HDR4_1","4","Header 4","HDR-1X4","","","452-612","452-612",""
"HDR4_2","4","TE connector 4","4 Way TE Connector","","","452-612","452-612",""
"HDR4_3","4","TE connector 4","4 Way TE Connector","","","452-612","452-612",""
"HDR4_4","4","TE connector 4","4 Way TE Connector","","","452-612","452-612",""
"HDR4_5","4","TE connector 4","4 Way TE Connector","","","452-612","452-612",""
"J1","","1x2 Socket","CR0805","","","","","n/a"
"J2","","1x2 Socket","CR0805","","","","","n/a"
"J12","","1x2 Socket","CR0805","","","","","n/a"
"J14","","1x2 Socket","CR0805","","","","","n/a"
"K1","","SWITCH8DIP","Dip Switch","","","","",""
"K2.1","","G2R2","G2R2","","","365-0529","365-0529",""
"K2.2","","G2R2","G2R2","","","","",""
"OPTOcoupler1","","CNY17F","CNY17F PDIP","",""," 671-2699"," 671-2699",""
"OPTOcoupler2","","CNY17F","CNY17F PDIP","",""," 671-2699"," 671-2699",""
"OPTOcoupler3","","CNY17F","CNY17F PDIP","",""," 671-2699"," 671-2699",""
"OPTOcoupler4","","CNY17F","CNY17F PDIP","",""," 671-2699"," 671-2699",""
"Q3","","BC639","BCY-3/D5.2","","","800-9585","800-9585",""
"R1","","RES_0805","RES_0805","","","788-3972","788-3972",""
"R2","","RES_0805","RES_0805","","","788-3972","788-3972",""
"R19","2.2 micro henry","IND_0805","IND_0805","","","","",""
"R21","1K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R22","1k","RES_0805","RES_0805","","","223-0427","223-0427",""
"R24","1k","RES_0805","RES_0805","","","740-8971","740-8971",""
"R25","1k","RES_0805","RES_0805","","","740-8971","740-8971",""
"R26","4700 ohm","RES_0805","RES_0805","","","740-9031","740-9031",""
"R27","4700 ohm","RES_0805","RES_0805","","","740-9031","740-9031",""
"R28","1k ohm","RES_0805","RES_0805","","","740-8971","740-8971",""
"R29","1k ohm","RES_0805","RES_0805","","","740-8971","740-8971",""
"R30","10k ohm","RES_0805","RES_0805","","","788-3972","788-3972",""
"R31","10k ohm","RES_0805","RES_0805","","","788-3972","788-3972",""
"R32","4700 ohm","RES_0805","RES_0805","","","740-9031","740-9031",""
"R33","1k ohm","RES_0805","RES_0805","","","740-8971","740-8971",""
"R34","1k ohm","RES_0805","RES_0805","","","740-8971","740-8971",""
"R35","1k ohm","RES_0805","RES_0805","","","788-3972","788-3972",""
"R36","10k ohm","RES_0805","RES_0805","","","788-3972","788-3972",""
"R37","10k ohm","RES_0805","RES_0805","","","788-3972","788-3972",""
"R38","10k ohm","RES_0805","RES_0805","","","788-3972","788-3972",""
"R42","1k ohm","RES_0805","RES_0805","","","740-8971","740-8971",""
"R43","1k ohm","RES_0805","RES_0805","","","740-8971","740-8971",""
"R44","1k ohm","RES_0805","RES_0805","","","740-8971","740-8971",""
"R45","1k ohm","RES_0805","RES_0805","","","740-8971","740-8971",""
"R46","220 ohm","RES_0805","SMA","","","721-6889P","721-6889P",""
"R47","666 ohm","RES_0805","RES_0805","","","708-6070","708-6070",""
"R48","2.0k","RES_2512","RES_2512","","","","",""
"R49","1k","RES_0805","RES_1206","","","740-3971","740-3971",""
"R50","1K","RES_0805","RES_1206","","","740-3971","740-3971",""
"R51","1K","RES_0805","RES_1206","","","740-3971","740-3971",""
"R52","1K","RES_0805","RES_1206","","","740-3971","740-3971",""
"R53","1K","RES_0805","RES_1206","","","740-3971","740-3971",""
"R54","1K","RES_0805","RES_0805","","","740-8971","740-8971",""
"R55","1k","RES_0805","RES_0805","","","740-8971","740-8971",""
"R56","1K","RES_0805","RES_1206","","","740-3971","740-3971",""
"R57","1K","RES_0805","RES_1206","","","740-3971","740-3971",""
"R58","1K","RES_0805","RES_1206","","","740-3971","740-3971",""
"R59","10K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R60","1K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R61","10K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R62","10K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R63","10K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R64","10K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R65","10K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R66","10K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R67","10K","RES_0805","RES_0805","","","788-3972","788-3972",""
"R69","1k","RES_0805","RES_0805","","","740-8971","740-8971",""
"R70","1K","RES_0805","RES_0805","","","740-3971","740-3971",""
"S1","","Pushbutton","Tactile Switch","","","793-1642","793-1642","400-10003"
"U1","","P8X32A-Q44","LQFP_44/10x10x0.8","","","450-626p","450-626p",""
"U2","","24LC256MS","TSOP-8/3x6","","","738-0069","738-0069",""
"U3","","LM1086IS-3.3","TO263-4/14x10.2x2.54","","","533-9426P","533-9426P",""
"U9","","LM338T","SFM-3/W10.7","","","640-7839","640-7839",""
"X1","","CRYSTALHC49U-V","HC49U-V","","","814-9396P","814-9396P",""
